Year,Total 15-24 unemployment (%),,,,,,,,,,,,,,,,,,,,,,,,,
1985,5.800000191,,,,,,,,,,,,,,,,,,,,,,,,,
1986,5.599999905,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3.700000048,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3.400000095,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2.799999952,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3.299999952,,,,,,,,,,,,,,,,,,,,,,,,,
1991,4.099999905,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4.300000191,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4.599999905,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
1995,6.800000191,,,,,,,,,,,,,,,,,,,,,,,,,
1996,6.400000095,,,,,,,,,,,,,,,,,,,,,,,,,
1997,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998,10.30000019,,,,,,,,,,,,,,,,,,,,,,,,,
1999,13.19999981,,,,,,,,,,,,,,,,,,,,,,,,,
2000,10.60000038,,,,,,,,,,,,,,,,,,,,,,,,,
2001,11.30000019,,,,,,,,,,,,,,,,,,,,,,,,,
2002,15,,,,,,,,,,,,,,,,,,,,,,,,,
2003,15,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12.19999981,,,,,,,,,,,,,,,,,,,,,,,,,
2005,10.80000019,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
